File, Hyper-heuristic
0.bpp, 2.8571
100.bpp, 3.0000
104.bpp, 30.0000
11.bpp, 1.3448
110.bpp, 0.1282
117.bpp, 0.3667
119.bpp, 1.3333
135.bpp, 4.4615
14.bpp, 4.6000
141.bpp, 6.7500
143.bpp, 5.1538
145.bpp, 6.8000
151.bpp, 2.0000
168.bpp, 2.3333
17.bpp, 1.7619
173.bpp, 2.3000
178.bpp, 1.4167
179.bpp, 0.5294
18.bpp, 2.1667
184.bpp, 0.6410
194.bpp, 3.8571
197.bpp, 5.7917
202.bpp, 0.1081
208.bpp, 7.3750
210.bpp, 7.1429
215.bpp, 1.6667
223.bpp, 1.8000
226.bpp, 3.9000
229.bpp, 1.2667
233.bpp, 5.9000
237.bpp, 5.5000
239.bpp, 0.8182
240.bpp, 2.8000
244.bpp, 0.6129
246.bpp, 4.5263
255.bpp, 3.4444
256.bpp, 3.1875
261.bpp, 1.5769
262.bpp, 1.5500
264.bpp, 4.2143
292.bpp, 0.0500
294.bpp, 2.5000
307.bpp, 4.9091
31.bpp, 3.1250
310.bpp, 0.6316
311.bpp, 4.8000
317.bpp, 0.6333
326.bpp, 2.3750
327.bpp, 3.3750
330.bpp, 0.8947
332.bpp, 21.0000
337.bpp, 4.1111
348.bpp, 0.6957
357.bpp, 11.0000
358.bpp, 4.3529
359.bpp, 2.0800
36.bpp, 18.0000
363.bpp, 2.6667
366.bpp, 1.0000
368.bpp, 3.6000
380.bpp, 28.0000
385.bpp, 0.9412
394.bpp, 2.1000
401.bpp, 3.8947
409.bpp, 0.6429
41.bpp, 3.3333
410.bpp, 4.6000
433.bpp, 1.3158
438.bpp, 1.7692
441.bpp, 1.8571
443.bpp, 11.0000
447.bpp, 3.8571
449.bpp, 0.3333
452.bpp, 6.7500
47.bpp, 1.8947
470.bpp, 3.0000
473.bpp, 3.0000
478.bpp, 1.0357
483.bpp, 2.0435
484.bpp, 0.7143
488.bpp, 3.5000
489.bpp, 1.3750
492.bpp, 4.0323
5.bpp, 3.0417
50.bpp, 6.4444
55.bpp, 4.0000
58.bpp, 2.1250
59.bpp, 2.0500
6.bpp, 1.3000
63.bpp, 5.6000
7.bpp, 3.0000
71.bpp, 0.2857
72.bpp, 1.5000
78.bpp, 2.6250
80.bpp, 4.6667
81.bpp, 2.0909
83.bpp, 3.0000
87.bpp, 2.9091
97.bpp, 1.5625
99.bpp, 2.8500
